<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150907,000000,1.1162000,1.1180000,1.1120000,1.1169000,1227331
20150908,000000,1.1169300,1.1229600,1.1150000,1.1200800,1566009
20150909,000000,1.1199700,1.1217500,1.1129000,1.1205900,1604509
20150910,000000,1.1206100,1.1295400,1.1169000,1.1278300,1700609
20150911,000000,1.1279000,1.1349500,1.1251000,1.1334800,1565754
20150912,000000,1.1337000,1.1339000,1.1337000,1.1339000,11
20150913,000000,1.1331000,1.1332200,1.1327200,1.1329700,1837
20150914,000000,1.1329600,1.1373100,1.1282000,1.1315300,1337633
20150915,000000,1.1315300,1.1328700,1.1256000,1.1268100,1549976
20150916,000000,1.1267300,1.1320600,1.1211000,1.1289400,1517612
20150917,000000,1.1290000,1.1441300,1.1282000,1.1433600,1805235
20150918,000000,1.1432700,1.1460300,1.1268000,1.1299100,1925564
20150919,000000,1.1296900,1.1310000,1.1296900,1.1308000,186
20150920,000000,1.1280000,1.1289000,1.1262000,1.1280400,3716
20150921,000000,1.1280900,1.1330100,1.1179000,1.1188000,1547900
20150922,000000,1.1189000,1.1207700,1.1111000,1.1119100,1621729
20150923,000000,1.1119100,1.1213500,1.1102000,1.1184900,1713382
20150924,000000,1.1185500,1.1296000,1.1162600,1.1228500,1893854
20150925,000000,1.1227700,1.1233700,1.1114000,1.1192300,1826654
20150926,000000,1.1193000,1.1198100,1.1184000,1.1192000,105
20150927,000000,1.1184000,1.1186500,1.1172700,1.1185200,3682
20150928,000000,1.1183500,1.1247700,1.1145000,1.1243800,1614717
20150929,000000,1.1243100,1.1281400,1.1192000,1.1247300,1775399
20150930,000000,1.1246700,1.1262400,1.1156000,1.1174800,1580026
20151001,000000,1.1174400,1.1210000,1.1132000,1.1192600,1545411
20151002,000000,1.1193400,1.1318400,1.1148000,1.1209800,1829261
20151003,000000,1.1209000,1.1217700,1.1206000,1.1207000,68
20151004,000000,1.1214800,1.1226200,1.1213300,1.1217100,2701
20151005,000000,1.1219500,1.1290000,1.1170000,1.1186100,1709465
20151006,000000,1.1186100,1.1279600,1.1170700,1.1269600,1552395
20151007,000000,1.1269800,1.1284300,1.1209000,1.1236100,1377022
